Package;Complexity;Number of statements;Number of types;Number of methods;Average class complexity;Average method complexity;Path
de.bsmgmbh.model.anacredit.collateral;16;12;8;2;2;8;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\collateral
de.bsmgmbh.protocol;15;36;6;21;2.5;0.714285714;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\protocol
de.bsmgmbh.service.impl;15;49;4;13;3.75;1.153846154;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\service\impl
de.bsmgmbh.persistence.rest.provider;14;71;11;44;1.272727273;0.318181818;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\provider
de.bsmgmbh.core.batch.step.egp2bais;13;113;4;44;3.25;0.295454545;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\core\batch\step\egp2bais
de.bsmgmbh.extractor;13;26;13;13;1;1;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterDeliverySync\src\main\java\de\bsmgmbh\extractor
de.bsmgmbh.service;12;30;4;10;3;1.2;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterDeliverySync\src\main\java\de\bsmgmbh\service
de.bsmgmbh.persistence.rest.accounting;11;24;1;3;11;3.666666667;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\accounting
de.bsmgmbh.protocol.factory;11;31;3;17;3.666666667;0.647058824;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\protocol\factory
de.bsmgmbh.persistence.rest.infrastructur;10;19;5;8;2;1.25;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\rest\infrastructur
de.bsmgmbh.model.anacredit.counterparty;8;8;21;3;0.380952381;2.666666667;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\model\anacredit\counterparty
de.bsmgmbh.persistence.dao.extractor;7;14;7;7;1;1;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\persistence\dao\extractor
de.bsmgmbh.logging;6;32;1;3;6;2;E:\workspace\java\finance.egp.parentegp-parent-sb2\EGPAdapterCore\src\main\java\de\bsmgmbh\logging
