Path;File;Number of lines;Changed Lines;Lines added;Lines removed;Number of contributers;Number of contributions;Number of fixes;Number of non fixes
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\MultiPropertyMapper.java;MultiPropertyMapper.java;281;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\FastSessionServices.java;FastSessionServices.java;280;520;400;120;1;14;0;14
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\AbstractDelegatingMetadataBuilderImplementor.java;AbstractDelegatingMetadataBuilderImplementor.java;279;6;0;6;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\process\internal\ScanningCoordinator.java;ScanningCoordinator.java;279;29;15;14;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\javassist\AttributeTypeDescriptor.java;AttributeTypeDescriptor.java;279;12;6;6;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\MetadataBuildingOptions.java;MetadataBuildingOptions.java;279;258;152;106;3;6;0;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\plan\build\internal\AbstractEntityGraphVisitationStrategy.java;AbstractEntityGraphVisitationStrategy.java;278;209;73;136;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\configuration\internal\metadata\reader\PropertyAuditingData.java;PropertyAuditingData.java;278;14;14;0;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\TimesTenDialect.java;TimesTenDialect.java;277;9;8;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\entity\plan\AbstractLoadPlanBasedEntityLoader.java;AbstractLoadPlanBasedEntityLoader.java;276;75;63;12;3;4;0;4
E:\workspace\java\hibernate-orm\hibernate-spatial\src\main\java\org\hibernate\spatial\dialect\oracle\criterion\SDOParameterMap.java;SDOParameterMap.java;276;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\SingularAttributeSourceAnyImpl.java;SingularAttributeSourceAnyImpl.java;276;5;5;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\Helper.java;Helper.java;275;22;4;18;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\CriteriaSubqueryImpl.java;CriteriaSubqueryImpl.java;274;23;11;12;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\BinaryLogicOperatorNode.java;BinaryLogicOperatorNode.java;274;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\resource\jdbc\internal\LogicalConnectionManagedImpl.java;LogicalConnectionManagedImpl.java;274;24;10;14;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\resource\beans\container\internal\JpaCompliantLifecycleStrategy.java;JpaCompliantLifecycleStrategy.java;273;329;301;28;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\Teradata14Dialect.java;Teradata14Dialect.java;270;5;3;2;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tuple\entity\BytecodeEnhancementMetadataPojoImpl.java;BytecodeEnhancementMetadataPojoImpl.java;270;194;168;26;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\DefaultRefreshEventListener.java;DefaultRefreshEventListener.java;270;127;85;42;5;7;1;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\stat\spi\StatisticsImplementor.java;StatisticsImplementor.java;269;110;72;38;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\BulkOperationCleanupAction.java;BulkOperationCleanupAction.java;269;84;51;33;2;6;1;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metadata\ClassMetadata.java;ClassMetadata.java;269;62;60;2;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\service\internal\EventListenerGroupImpl.java;EventListenerGroupImpl.java;268;167;137;30;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\naming\ImplicitNamingStrategyJpaCompliantImpl.java;ImplicitNamingStrategyJpaCompliantImpl.java;268;7;4;3;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\EntityInsertAction.java;EntityInsertAction.java;266;45;27;18;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\CacheImplementor.java;CacheImplementor.java;266;424;281;143;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\IntoClause.java;IntoClause.java;265;14;7;7;1;2;1;1
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\relation\query\ThreeEntityQueryGenerator.java;ThreeEntityQueryGenerator.java;265;119;57;62;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\collection\internal\PersistentSortedMap.java;PersistentSortedMap.java;262;23;23;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\plan\exec\internal\EntityLoadQueryDetails.java;EntityLoadQueryDetails.java;262;81;47;34;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-spatial\src\main\java\org\hibernate\spatial\dialect\oracle\criterion\OracleSpatialRestrictions.java;OracleSpatialRestrictions.java;260;32;23;9;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cache\spi\CacheImplementor.java;CacheImplementor.java;260;292;276;16;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\collection\DynamicBatchingCollectionInitializerBuilder.java;DynamicBatchingCollectionInitializerBuilder.java;257;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\tooling\metamodel-generator\src\main\java\org\hibernate\jpamodelgen\Context.java;Context.java;256;15;15;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-c3p0\src\main\java\org\hibernate\c3p0\internal\C3P0ConnectionProvider.java;C3P0ConnectionProvider.java;256;3;1;2;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\query\spi\ParameterParser.java;ParameterParser.java;255;6;3;3;2;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\stat\internal\DeprecatedNaturalIdCacheStatisticsImpl.java;DeprecatedNaturalIdCacheStatisticsImpl.java;255;269;262;7;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\log\DeprecationLogger.java;DeprecationLogger.java;252;6;4;2;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\EntityIdentityInsertAction.java;EntityIdentityInsertAction.java;250;20;13;7;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\path\AbstractPathImpl.java;AbstractPathImpl.java;250;33;14;19;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\registry\BootstrapServiceRegistryBuilder.java;BootstrapServiceRegistryBuilder.java;249;2;1;1;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cache\spi\support\DomainDataRegionTemplate.java;DomainDataRegionTemplate.java;249;255;252;3;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\NamedSQLQueryDefinition.java;NamedSQLQueryDefinition.java;247;6;3;3;1;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\ForeignKey.java;ForeignKey.java;247;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\MappingDocument.java;MappingDocument.java;246;18;12;6;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\util\collections\IdentityMap.java;IdentityMap.java;246;95;45;50;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\SAPDBDialect.java;SAPDBDialect.java;245;20;16;4;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\transaction\internal\TransactionImpl.java;TransactionImpl.java;245;93;64;29;3;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\Hibernate.java;Hibernate.java;245;32;31;1;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\ConstructorNode.java;ConstructorNode.java;244;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\Index.java;Index.java;243;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\AbstractDelegatingMetadata.java;AbstractDelegatingMetadata.java;243;16;15;1;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-spatial\src\main\java\org\hibernate\spatial\dialect\postgis\PostgisNoSQLMM.java;PostgisNoSQLMM.java;242;140;70;70;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-jipijapa\src\main\java\org\jboss\as\jpa\hibernate5\management\HibernateQueryCacheStatistics.java;HibernateQueryCacheStatistics.java;242;606;424;182;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\relational\Namespace.java;Namespace.java;241;32;18;14;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\SessionFactoryRegistry.java;SessionFactoryRegistry.java;241;5;2;3;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\transaction\jta\platform\internal\WebSphereExtendedJtaPlatform.java;WebSphereExtendedJtaPlatform.java;239;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\BasicQueryContract.java;BasicQueryContract.java;238;20;10;10;1;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cache\spi\support\AbstractDomainDataRegion.java;AbstractDomainDataRegion.java;237;84;57;27;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\configuration\internal\GlobalConfiguration.java;GlobalConfiguration.java;235;11;11;0;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\internal\ResultSetReturnImpl.java;ResultSetReturnImpl.java;234;44;36;8;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\MethodNode.java;MethodNode.java;233;1;0;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-osgi\src\main\java\org\hibernate\osgi\OsgiClassLoader.java;OsgiClassLoader.java;233;164;93;71;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\registry\classloading\internal\AggregatedClassLoader.java;AggregatedClassLoader.java;231;233;232;1;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cache\internal\DisabledCaching.java;DisabledCaching.java;230;244;237;7;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\query\internal\impl\RevisionsOfEntityQuery.java;RevisionsOfEntityQuery.java;227;138;99;39;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\DefaultReplicateEventListener.java;DefaultReplicateEventListener.java;227;22;12;10;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-jipijapa\src\main\java\org\jboss\as\jpa\hibernate5\HibernatePersistenceProviderAdaptor.java;HibernatePersistenceProviderAdaptor.java;227;609;418;191;2;6;0;6
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\internal\Nullability.java;Nullability.java;226;11;7;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\registry\selector\internal\StrategySelectorImpl.java;StrategySelectorImpl.java;225;56;37;19;3;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\internal\bytebuddy\HibernateMethodLookupDispatcher.java;HibernateMethodLookupDispatcher.java;225;429;327;102;1;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\proxy\pojo\javassist\JavassistProxyFactory.java;JavassistProxyFactory.java;224;12;9;3;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tuple\component\AbstractCompositionAttribute.java;AbstractCompositionAttribute.java;224;20;10;10;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\relation\BasicCollectionMapper.java;BasicCollectionMapper.java;223;144;142;2;1;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\graph\GraphParser.java;GraphParser.java;222;222;222;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\internal\StatementPreparerImpl.java;StatementPreparerImpl.java;222;26;11;15;2;3;0;3
E:\workspace\java\hibernate-orm\tooling\metamodel-generator\src\main\java\org\hibernate\jpamodelgen\ClassWriter.java;ClassWriter.java;222;5;2;3;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\BlobProxy.java;BlobProxy.java;221;192;96;96;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\ScrollableResultsImpl.java;ScrollableResultsImpl.java;220;40;24;16;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\ResultSetWrapperProxy.java;ResultSetWrapperProxy.java;220;117;91;26;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\stat\internal\QueryStatisticsImpl.java;QueryStatisticsImpl.java;220;106;67;39;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\CopyIdentifierComponentSecondPass.java;CopyIdentifierComponentSecondPass.java;220;20;14;6;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\internal\DefaultPersistEventListener.java;DefaultPersistEventListener.java;218;29;17;12;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\sql\ANSIJoinFragment.java;ANSIJoinFragment.java;218;57;57;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\SQLServerDialect.java;SQLServerDialect.java;217;5;5;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\tree\BinaryArithmeticOperatorNode.java;BinaryArithmeticOperatorNode.java;217;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cfg\annotations\reflection\JPAMetadataProvider.java;JPAMetadataProvider.java;217;309;168;141;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cache\spi\access\CachedDomainDataAccess.java;CachedDomainDataAccess.java;216;284;250;34;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\EntityDeleteAction.java;EntityDeleteAction.java;216;16;9;7;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\expression\BinaryArithmeticOperation.java;BinaryArithmeticOperation.java;216;5;0;5;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\resource\beans\container\internal\ContainerManagedLifecycleStrategy.java;ContainerManagedLifecycleStrategy.java;215;255;235;20;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\spi\interceptor\EnhancementHelper.java;EnhancementHelper.java;214;224;219;5;3;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\internal\util\collections\CollectionHelper.java;CollectionHelper.java;214;63;55;8;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\jmx\internal\JmxServiceImpl.java;JmxServiceImpl.java;214;16;14;2;1;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\mapping\Constraint.java;Constraint.java;214;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\javassist\EnhancerImpl.java;EnhancerImpl.java;212;8;4;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\OneToOneType.java;OneToOneType.java;212;42;33;9;4;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\VersionAttributeSourceImpl.java;VersionAttributeSourceImpl.java;211;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\cache\internal\CollectionCacheInvalidator.java;CollectionCacheInvalidator.java;211;29;21;8;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\event\spi\LoadEvent.java;LoadEvent.java;210;21;19;2;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\batch\internal\AbstractBatchImpl.java;AbstractBatchImpl.java;209;25;18;7;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-spatial\src\main\java\org\hibernate\spatial\dialect\postgis\PostgisFunctions.java;PostgisFunctions.java;209;5;5;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\jaxb\internal\stax\JpaOrmXmlEventReader.java;JpaOrmXmlEventReader.java;209;24;13;11;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\sql\JoinFragment.java;JoinFragment.java;209;17;17;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-jipijapa\src\main\java\org\jboss\as\jpa\hibernate5\management\QueryName.java;QueryName.java;208;576;392;184;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\query\spi\EntityGraphQueryHint.java;EntityGraphQueryHint.java;208;79;56;23;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\Ingres9Dialect.java;Ingres9Dialect.java;208;2;2;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\resource\beans\container\internal\CdiBeanContainerExtendedAccessImpl.java;CdiBeanContainerExtendedAccessImpl.java;207;261;234;27;2;5;0;5
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\jdbc\env\spi\IdentifierHelperBuilder.java;IdentifierHelperBuilder.java;206;4;0;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\spi\AbstractDelegatingMetadataBuildingOptions.java;AbstractDelegatingMetadataBuildingOptions.java;205;132;71;61;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\AbstractEntityInsertAction.java;AbstractEntityInsertAction.java;204;16;9;7;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\graph\internal\AbstractGraph.java;AbstractGraph.java;204;232;218;14;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\util\ASTPrinter.java;ASTPrinter.java;203;116;54;62;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\EntityAction.java;EntityAction.java;203;39;22;17;3;4;1;3
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\relation\query\TwoEntityQueryGenerator.java;TwoEntityQueryGenerator.java;203;122;56;66;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\relational\QualifiedNameParser.java;QualifiedNameParser.java;201;9;5;4;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\spi\id\AbstractTableBasedBulkIdHandler.java;AbstractTableBasedBulkIdHandler.java;201;3;1;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\predicate\InPredicate.java;InPredicate.java;201;13;9;4;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\SessionBuilder.java;SessionBuilder.java;200;95;51;44;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\AbstractEntityJoinWalker.java;AbstractEntityJoinWalker.java;200;5;2;3;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\PropertyData.java;PropertyData.java;199;36;31;5;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\jpa\HibernatePersistenceProvider.java;HibernatePersistenceProvider.java;199;20;6;14;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\jpa\event\internal\CallbackRegistryImpl.java;CallbackRegistryImpl.java;198;11;6;5;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\descriptor\sql\SqlTypeDescriptorRegistry.java;SqlTypeDescriptorRegistry.java;198;91;56;35;1;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\action\internal\CollectionAction.java;CollectionAction.java;198;10;5;5;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\hbm2ddl\SchemaValidator.java;SchemaValidator.java;197;4;1;3;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\internal\bytebuddy\FieldReaderAppender.java;FieldReaderAppender.java;196;104;67;37;2;4;0;4
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\descriptor\java\JavaTypeDescriptorRegistry.java;JavaTypeDescriptorRegistry.java;195;111;55;56;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\SharedSessionContract.java;SharedSessionContract.java;193;6;6;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\MimerSQLDialect.java;MimerSQLDialect.java;193;9;8;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\engine\spi\SubselectFetch.java;SubselectFetch.java;192;2;1;1;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metamodel\model\domain\spi\ManagedTypeDescriptor.java;ManagedTypeDescriptor.java;191;3;3;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\internal\ast\util\SyntheticAndFactory.java;SyntheticAndFactory.java;191;4;2;2;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\procedure\internal\ProcedureParameterMetadata.java;ProcedureParameterMetadata.java;190;5;3;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\source\internal\hbm\SingularAttributeSourceBasicImpl.java;SingularAttributeSourceBasicImpl.java;189;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\tool\schema\Action.java;Action.java;188;10;5;5;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\jdbc\Expectations.java;Expectations.java;188;12;7;5;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\ComponentPropertyMapper.java;ComponentPropertyMapper.java;187;42;24;18;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\loader\DefaultEntityAliases.java;DefaultEntityAliases.java;187;52;30;22;3;4;1;3
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\relation\ToOneIdMapper.java;ToOneIdMapper.java;186;39;35;4;2;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\type\BasicTypeRegistry.java;BasicTypeRegistry.java;185;19;18;1;2;3;0;3
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\jaxb\internal\AbstractBinder.java;AbstractBinder.java;185;28;14;14;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\graph\spi\GraphImplementor.java;GraphImplementor.java;185;221;203;18;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\spi\QueryTranslator.java;QueryTranslator.java;184;9;9;0;1;2;0;2
E:\workspace\java\hibernate-orm\hibernate-envers\src\main\java\org\hibernate\envers\internal\entities\mapper\relation\MapCollectionMapper.java;MapCollectionMapper.java;184;87;87;0;1;2;1;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\metamodel\spi\MetamodelImplementor.java;MetamodelImplementor.java;183;8;8;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\boot\model\convert\internal\AutoApplicableConverterDescriptorStandardImpl.java;AutoApplicableConverterDescriptorStandardImpl.java;183;4;2;2;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\spi\QueryParameterBindingValidator.java;QueryParameterBindingValidator.java;182;3;3;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\collection\internal\PersistentSortedSet.java;PersistentSortedSet.java;182;23;23;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\dialect\pagination\AbstractLimitHandler.java;AbstractLimitHandler.java;181;9;8;1;1;1;1;0
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\query\criteria\internal\compile\CriteriaCompiler.java;CriteriaCompiler.java;181;26;21;5;2;2;0;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\persister\internal\PersisterFactoryImpl.java;PersisterFactoryImpl.java;181;24;12;12;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\sql\OracleJoinFragment.java;OracleJoinFragment.java;181;48;48;0;1;1;0;1
E:\workspace\java\hibernate-orm\hibernate-spatial\src\main\java\org\hibernate\spatial\dialect\postgis\PostgisSupport.java;PostgisSupport.java;181;13;9;4;3;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\bytecode\enhance\spi\interceptor\LazyAttributeLoadingInterceptor.java;LazyAttributeLoadingInterceptor.java;180;278;60;218;3;3;1;2
E:\workspace\java\hibernate-orm\hibernate-core\src\main\java\org\hibernate\hql\spi\id\TableBasedUpdateHandlerImpl.java;TableBasedUpdateHandlerImpl.java;179;12;6;6;2;3;1;2
